sample_id,run_accession,study_accession
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,ERR667092,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,ERR667094,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,ERR667099,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,ERR667100,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,ERR667102,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,ERR667104,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,ERR667105,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,ERR667108,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,ERR667109,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,ERR667111,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,ERR667116,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,ERR667117,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,ERR667119,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,ERR667121,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517,ERR667123,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518,ERR667124,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,ERR667126,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,ERR667128,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,ERR667132,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,ERR667136,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,ERR667141,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,ERR506071,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,ERR506072,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,ERR506075,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,ERR506081,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,ERR506084,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,ERR506085,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,ERR506086,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531,ERR506087,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,ERR506089,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,ERR506093,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515,ERR506095,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,ERR506099,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,ERR506100,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521,ERR506101,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,ERR506102,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,ERR506103,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,ERR506104,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,ERR506107,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,ERR506109,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,ERR506110,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,ERR506113,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,ERR506114,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,ERR506116,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,ERR667054,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521,ERR667055,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,ERR667059,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529,ERR667063,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,ERR667064,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,ERR667066,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,ERR667068,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,ERR667069,PRJEB14695
Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516,ERR667074,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520,ERR667078,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521,ERR667079,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522,ERR667080,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523,ERR667081,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526,ERR667084,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535,ERR667093,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537,ERR667095,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524,ERR667106,PRJEB14695
Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525,ERR667107,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530,ERR667112,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531,ERR667113,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533,ERR667114,PRJEB14695
Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532,ERR667115,PRJEB14695
Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519,ERR667125,PRJEB14695
Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521,ERR667127,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527,ERR667133,PRJEB14695
Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528,ERR667134,PRJEB14695
Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534,ERR667140,PRJEB14695
Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536,ERR667142,PRJEB14695
