sample_id,run_accession,study_accession
d8a81d9c-e61a-11ea-a018-fa163e2f1184,ERR11178344,PRJEB32839
d8c24fe6-e61a-11ea-a018-fa163e2f1184,ERR11178348,PRJEB32839
d7792394-e61a-11ea-a018-fa163e2f1184,ERR11178349,PRJEB32839
d69399be-e61a-11ea-a018-fa163e2f1184,ERR11178356,PRJEB32839
d6cd3d68-e61a-11ea-a018-fa163e2f1184,ERR11178368,PRJEB32839
d736a4ec-e61a-11ea-a018-fa163e2f1184,ERR11178372,PRJEB32839
d82ea732-e61a-11ea-a018-fa163e2f1184,ERR11178379,PRJEB32839
d87859fe-e61a-11ea-a018-fa163e2f1184,ERR11178381,PRJEB32839
d6aae2ea-e61a-11ea-a018-fa163e2f1184,ERR11178385,PRJEB32839
d7fd2df6-e61a-11ea-a018-fa163e2f1184,ERR11178386,PRJEB32839
d6d8bdfa-e61a-11ea-a018-fa163e2f1184,ERR11178387,PRJEB32839
d8346852-e61a-11ea-a018-fa163e2f1184,ERR11178388,PRJEB32839
d6b00d88-e61a-11ea-a018-fa163e2f1184,ERR11178394,PRJEB32839
d804d02e-e61a-11ea-a018-fa163e2f1184,ERR11178395,PRJEB32839
d6de5df0-e61a-11ea-a018-fa163e2f1184,ERR11178396,PRJEB32839
d747603e-e61a-11ea-a018-fa163e2f1184,ERR11178400,PRJEB32839
d7d556aa-e61a-11ea-a018-fa163e2f1184,ERR11178402,PRJEB32839
d6b5d650-e61a-11ea-a018-fa163e2f1184,ERR11178403,PRJEB32839
d841caec-e61a-11ea-a018-fa163e2f1184,ERR11178406,PRJEB32839
d71d76b6-e61a-11ea-a018-fa163e2f1184,ERR11178407,PRJEB32839
d89278de-e61a-11ea-a018-fa163e2f1184,ERR11178408,PRJEB32839
d7235c34-e61a-11ea-a018-fa163e2f1184,ERR11178415,PRJEB32839
d8ad32f0-e61a-11ea-a018-fa163e2f1184,ERR11178428,PRJEB32839
d76361ee-e61a-11ea-a018-fa163e2f1184,ERR11178431,PRJEB32839
d75e0460-e61a-11ea-a018-fa163e2f1184,ERR11178435,PRJEB32839
d77380a6-e61a-11ea-a018-fa163e2f1184,ERR11178437,PRJEB32839
d8c24fe6-e61a-11ea-a018-fa163e2f1184,ERR11178438,PRJEB32839
d6e90002-e61a-11ea-a018-fa163e2f1184,ERR11178264,PRJEB32839
d69399be-e61a-11ea-a018-fa163e2f1184,ERR11178266,PRJEB32839
d7eaa0d2-e61a-11ea-a018-fa163e2f1184,ERR11178267,PRJEB32839
d8575808-e61a-11ea-a018-fa163e2f1184,ERR11178271,PRJEB32839
d7309bd8-e61a-11ea-a018-fa163e2f1184,ERR11178272,PRJEB32839
d6cd3d68-e61a-11ea-a018-fa163e2f1184,ERR11178278,PRJEB32839
d828b62e-e61a-11ea-a018-fa163e2f1184,ERR11178279,PRJEB32839
d7023cca-e61a-11ea-a018-fa163e2f1184,ERR11178280,PRJEB32839
d86df946-e61a-11ea-a018-fa163e2f1184,ERR11178281,PRJEB32839
d7c4e9a0-e61a-11ea-a018-fa163e2f1184,ERR11178285,PRJEB32839
d6d30c98-e61a-11ea-a018-fa163e2f1184,ERR11178288,PRJEB32839
d82ea732-e61a-11ea-a018-fa163e2f1184,ERR11178289,PRJEB32839
d7078d38-e61a-11ea-a018-fa163e2f1184,ERR11178290,PRJEB32839
d79a9cb8-e61a-11ea-a018-fa163e2f1184,ERR11178293,PRJEB32839
d7ca069c-e61a-11ea-a018-fa163e2f1184,ERR11178294,PRJEB32839
d7fd2df6-e61a-11ea-a018-fa163e2f1184,ERR11178296,PRJEB32839
d70cbc4a-e61a-11ea-a018-fa163e2f1184,ERR11178299,PRJEB32839
d741fb1c-e61a-11ea-a018-fa163e2f1184,ERR11178301,PRJEB32839
d7cfc9f6-e61a-11ea-a018-fa163e2f1184,ERR11178303,PRJEB32839
d804d02e-e61a-11ea-a018-fa163e2f1184,ERR11178305,PRJEB32839
d747603e-e61a-11ea-a018-fa163e2f1184,ERR11178310,PRJEB32839
d6e3b3d6-e61a-11ea-a018-fa163e2f1184,ERR11178315,PRJEB32839
d8485b82-e61a-11ea-a018-fa163e2f1184,ERR11178324,PRJEB32839
d6eeed0a-e61a-11ea-a018-fa163e2f1184,ERR11178332,PRJEB32839
d8507fec-e61a-11ea-a018-fa163e2f1184,ERR11178333,PRJEB32839
d75e0460-e61a-11ea-a018-fa163e2f1184,ERR11178345,PRJEB32839
d8cd0dfa-e61a-11ea-a018-fa163e2f1184,ERR11178352,PRJEB32839
d7865ce4-e61a-11ea-a018-fa163e2f1184,ERR11178353,PRJEB32839
d6e90002-e61a-11ea-a018-fa163e2f1184,ERR11178354,PRJEB32839
d7ba6c0a-e61a-11ea-a018-fa163e2f1184,ERR11178355,PRJEB32839
d6fc7b82-e61a-11ea-a018-fa163e2f1184,ERR11178360,PRJEB32839
d8575808-e61a-11ea-a018-fa163e2f1184,ERR11178361,PRJEB32839
d7309bd8-e61a-11ea-a018-fa163e2f1184,ERR11178362,PRJEB32839
d8d498ea-e61a-11ea-a018-fa163e2f1184,ERR11178363,PRJEB32839
d7bf9590-e61a-11ea-a018-fa163e2f1184,ERR11178365,PRJEB32839
d6a062ac-e61a-11ea-a018-fa163e2f1184,ERR11178366,PRJEB32839
d7f0f9a0-e61a-11ea-a018-fa163e2f1184,ERR11178367,PRJEB32839
d828b62e-e61a-11ea-a018-fa163e2f1184,ERR11178369,PRJEB32839
d7023cca-e61a-11ea-a018-fa163e2f1184,ERR11178370,PRJEB32839
d86df946-e61a-11ea-a018-fa163e2f1184,ERR11178371,PRJEB32839
d7938752-e61a-11ea-a018-fa163e2f1184,ERR11178374,PRJEB32839
d6a5b838-e61a-11ea-a018-fa163e2f1184,ERR11178376,PRJEB32839
d6d30c98-e61a-11ea-a018-fa163e2f1184,ERR11178378,PRJEB32839
d73c79da-e61a-11ea-a018-fa163e2f1184,ERR11178382,PRJEB32839
d7ca069c-e61a-11ea-a018-fa163e2f1184,ERR11178384,PRJEB32839
d70cbc4a-e61a-11ea-a018-fa163e2f1184,ERR11178389,PRJEB32839
d6e3b3d6-e61a-11ea-a018-fa163e2f1184,ERR11178405,PRJEB32839
d74ceff4-e61a-11ea-a018-fa163e2f1184,ERR11178409,PRJEB32839
d7aab166-e61a-11ea-a018-fa163e2f1184,ERR11178410,PRJEB32839
d8144fc2-e61a-11ea-a018-fa163e2f1184,ERR11178413,PRJEB32839
d899ba18-e61a-11ea-a018-fa163e2f1184,ERR11178416,PRJEB32839
d7529c38-e61a-11ea-a018-fa163e2f1184,ERR11178417,PRJEB32839
d7aff3c4-e61a-11ea-a018-fa163e2f1184,ERR11178418,PRJEB32839
d6eeed0a-e61a-11ea-a018-fa163e2f1184,ERR11178422,PRJEB32839
d72ad004-e61a-11ea-a018-fa163e2f1184,ERR11178424,PRJEB32839
d8a280e4-e61a-11ea-a018-fa163e2f1184,ERR11178425,PRJEB32839
d7b53050-e61a-11ea-a018-fa163e2f1184,ERR11178427,PRJEB32839
d8b2834a-e61a-11ea-a018-fa163e2f1184,ERR11178429,PRJEB32839
d8b77d82-e61a-11ea-a018-fa163e2f1184,ERR11178430,PRJEB32839
d768a12c-e61a-11ea-a018-fa163e2f1184,ERR11178432,PRJEB32839
d76e0e50-e61a-11ea-a018-fa163e2f1184,ERR11178433,PRJEB32839
d7792394-e61a-11ea-a018-fa163e2f1184,ERR11178439,PRJEB32839
d77ece52-e61a-11ea-a018-fa163e2f1184,ERR11178441,PRJEB32839
d8cd0dfa-e61a-11ea-a018-fa163e2f1184,ERR11178442,PRJEB32839
d7ba6c0a-e61a-11ea-a018-fa163e2f1184,ERR11178265,PRJEB32839
d6c78198-e61a-11ea-a018-fa163e2f1184,ERR11178268,PRJEB32839
d822ab8a-e61a-11ea-a018-fa163e2f1184,ERR11178269,PRJEB32839
d8d498ea-e61a-11ea-a018-fa163e2f1184,ERR11178273,PRJEB32839
d78db99e-e61a-11ea-a018-fa163e2f1184,ERR11178274,PRJEB32839
d87859fe-e61a-11ea-a018-fa163e2f1184,ERR11178291,PRJEB32839
d73c79da-e61a-11ea-a018-fa163e2f1184,ERR11178292,PRJEB32839
d6d8bdfa-e61a-11ea-a018-fa163e2f1184,ERR11178297,PRJEB32839
d8346852-e61a-11ea-a018-fa163e2f1184,ERR11178298,PRJEB32839
d87fb2d0-e61a-11ea-a018-fa163e2f1184,ERR11178300,PRJEB32839
d6b00d88-e61a-11ea-a018-fa163e2f1184,ERR11178304,PRJEB32839
d717e7fa-e61a-11ea-a018-fa163e2f1184,ERR11178308,PRJEB32839
d887f512-e61a-11ea-a018-fa163e2f1184,ERR11178309,PRJEB32839
d7a56814-e61a-11ea-a018-fa163e2f1184,ERR11178311,PRJEB32839
d80d1c66-e61a-11ea-a018-fa163e2f1184,ERR11178314,PRJEB32839
d89278de-e61a-11ea-a018-fa163e2f1184,ERR11178318,PRJEB32839
d74ceff4-e61a-11ea-a018-fa163e2f1184,ERR11178319,PRJEB32839
d7dd6034-e61a-11ea-a018-fa163e2f1184,ERR11178321,PRJEB32839
d6bb4f4a-e61a-11ea-a018-fa163e2f1184,ERR11178322,PRJEB32839
d899ba18-e61a-11ea-a018-fa163e2f1184,ERR11178326,PRJEB32839
d7529c38-e61a-11ea-a018-fa163e2f1184,ERR11178327,PRJEB32839
d7e3ece2-e61a-11ea-a018-fa163e2f1184,ERR11178329,PRJEB32839
d6c18716-e61a-11ea-a018-fa163e2f1184,ERR11178330,PRJEB32839
d81b0d44-e61a-11ea-a018-fa163e2f1184,ERR11178331,PRJEB32839
d8a280e4-e61a-11ea-a018-fa163e2f1184,ERR11178335,PRJEB32839
d7589cfa-e61a-11ea-a018-fa163e2f1184,ERR11178336,PRJEB32839
d7b53050-e61a-11ea-a018-fa163e2f1184,ERR11178337,PRJEB32839
d8ad32f0-e61a-11ea-a018-fa163e2f1184,ERR11178338,PRJEB32839
d8b2834a-e61a-11ea-a018-fa163e2f1184,ERR11178339,PRJEB32839
d8b77d82-e61a-11ea-a018-fa163e2f1184,ERR11178340,PRJEB32839
d76361ee-e61a-11ea-a018-fa163e2f1184,ERR11178341,PRJEB32839
d8bd2d86-e61a-11ea-a018-fa163e2f1184,ERR11178346,PRJEB32839
d77380a6-e61a-11ea-a018-fa163e2f1184,ERR11178347,PRJEB32839
d8c78e3e-e61a-11ea-a018-fa163e2f1184,ERR11178350,PRJEB32839
d77ece52-e61a-11ea-a018-fa163e2f1184,ERR11178351,PRJEB32839
d7eaa0d2-e61a-11ea-a018-fa163e2f1184,ERR11178357,PRJEB32839
d6c78198-e61a-11ea-a018-fa163e2f1184,ERR11178358,PRJEB32839
d822ab8a-e61a-11ea-a018-fa163e2f1184,ERR11178359,PRJEB32839
d78db99e-e61a-11ea-a018-fa163e2f1184,ERR11178364,PRJEB32839
d8d9c31a-e61a-11ea-a018-fa163e2f1184,ERR11178373,PRJEB32839
d7c4e9a0-e61a-11ea-a018-fa163e2f1184,ERR11178375,PRJEB32839
d7f6ef7c-e61a-11ea-a018-fa163e2f1184,ERR11178377,PRJEB32839
d7078d38-e61a-11ea-a018-fa163e2f1184,ERR11178380,PRJEB32839
d79a9cb8-e61a-11ea-a018-fa163e2f1184,ERR11178383,PRJEB32839
d87fb2d0-e61a-11ea-a018-fa163e2f1184,ERR11178390,PRJEB32839
d741fb1c-e61a-11ea-a018-fa163e2f1184,ERR11178391,PRJEB32839
d7a01e72-e61a-11ea-a018-fa163e2f1184,ERR11178392,PRJEB32839
d7cfc9f6-e61a-11ea-a018-fa163e2f1184,ERR11178393,PRJEB32839
d83b6c60-e61a-11ea-a018-fa163e2f1184,ERR11178397,PRJEB32839
d717e7fa-e61a-11ea-a018-fa163e2f1184,ERR11178398,PRJEB32839
d887f512-e61a-11ea-a018-fa163e2f1184,ERR11178399,PRJEB32839
d7a56814-e61a-11ea-a018-fa163e2f1184,ERR11178401,PRJEB32839
d80d1c66-e61a-11ea-a018-fa163e2f1184,ERR11178404,PRJEB32839
d7dd6034-e61a-11ea-a018-fa163e2f1184,ERR11178411,PRJEB32839
d6bb4f4a-e61a-11ea-a018-fa163e2f1184,ERR11178412,PRJEB32839
d8485b82-e61a-11ea-a018-fa163e2f1184,ERR11178414,PRJEB32839
d7e3ece2-e61a-11ea-a018-fa163e2f1184,ERR11178419,PRJEB32839
d6c18716-e61a-11ea-a018-fa163e2f1184,ERR11178420,PRJEB32839
d81b0d44-e61a-11ea-a018-fa163e2f1184,ERR11178421,PRJEB32839
d8507fec-e61a-11ea-a018-fa163e2f1184,ERR11178423,PRJEB32839
d7589cfa-e61a-11ea-a018-fa163e2f1184,ERR11178426,PRJEB32839
d8a81d9c-e61a-11ea-a018-fa163e2f1184,ERR11178434,PRJEB32839
d8bd2d86-e61a-11ea-a018-fa163e2f1184,ERR11178436,PRJEB32839
d8c78e3e-e61a-11ea-a018-fa163e2f1184,ERR11178440,PRJEB32839
d7865ce4-e61a-11ea-a018-fa163e2f1184,ERR11178443,PRJEB32839
