sample_id,run_accession,study_accession
d6fc7b82-e61a-11ea-a018-fa163e2f1184,ERR11178270,PRJEB32839
d7bf9590-e61a-11ea-a018-fa163e2f1184,ERR11178275,PRJEB32839
d6a062ac-e61a-11ea-a018-fa163e2f1184,ERR11178276,PRJEB32839
d7f0f9a0-e61a-11ea-a018-fa163e2f1184,ERR11178277,PRJEB32839
d736a4ec-e61a-11ea-a018-fa163e2f1184,ERR11178282,PRJEB32839
d8d9c31a-e61a-11ea-a018-fa163e2f1184,ERR11178283,PRJEB32839
d7938752-e61a-11ea-a018-fa163e2f1184,ERR11178284,PRJEB32839
d6a5b838-e61a-11ea-a018-fa163e2f1184,ERR11178286,PRJEB32839
d7f6ef7c-e61a-11ea-a018-fa163e2f1184,ERR11178287,PRJEB32839
d6aae2ea-e61a-11ea-a018-fa163e2f1184,ERR11178295,PRJEB32839
d7a01e72-e61a-11ea-a018-fa163e2f1184,ERR11178302,PRJEB32839
d6de5df0-e61a-11ea-a018-fa163e2f1184,ERR11178306,PRJEB32839
d83b6c60-e61a-11ea-a018-fa163e2f1184,ERR11178307,PRJEB32839
d7d556aa-e61a-11ea-a018-fa163e2f1184,ERR11178312,PRJEB32839
d6b5d650-e61a-11ea-a018-fa163e2f1184,ERR11178313,PRJEB32839
d841caec-e61a-11ea-a018-fa163e2f1184,ERR11178316,PRJEB32839
d71d76b6-e61a-11ea-a018-fa163e2f1184,ERR11178317,PRJEB32839
d7aab166-e61a-11ea-a018-fa163e2f1184,ERR11178320,PRJEB32839
d8144fc2-e61a-11ea-a018-fa163e2f1184,ERR11178323,PRJEB32839
d7235c34-e61a-11ea-a018-fa163e2f1184,ERR11178325,PRJEB32839
d7aff3c4-e61a-11ea-a018-fa163e2f1184,ERR11178328,PRJEB32839
d72ad004-e61a-11ea-a018-fa163e2f1184,ERR11178334,PRJEB32839
d768a12c-e61a-11ea-a018-fa163e2f1184,ERR11178342,PRJEB32839
d76e0e50-e61a-11ea-a018-fa163e2f1184,ERR11178343,PRJEB32839
