sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession,study
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_5d,mixed,unknown,2.0,B1,PRJEB32839,,ERR11178270,PRJEB32839_parsed
SM_CERC_MIX_UNKN_R5_B1,cercariae,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178275,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R2_B1,eggs,mixed,unknown,2.0,B1,PRJEB32839,,ERR11178276,PRJEB32839_parsed
SM_SCHI_MAL_UNKN_R3_B1,schistosomula_2d,male,unknown,3.0,B1,PRJEB32839,,ERR11178277,PRJEB32839_parsed
SM_SPOR_MAL_UNKN_R1_B1,sporocyst_32d,male,unknown,1.0,B1,PRJEB32839,,ERR11178282,PRJEB32839_parsed
SM_CERC_MAL_UNKN_R2_B1,cercariae,male,unknown,2.0,B1,PRJEB32839,,ERR11178284,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R3_B1,eggs,mixed,unknown,3.0,B1,PRJEB32839,,ERR11178286,PRJEB32839_parsed
SM_SCHI_MAL_UNKN_R4_B1,schistosomula_2d,male,unknown,4.0,B1,PRJEB32839,,ERR11178287,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R4_B1,eggs,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178295,PRJEB32839_parsed
SM_CERC_MAL_UNKN_R4_B1,cercariae,male,unknown,4.0,B1,PRJEB32839,,ERR11178302,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_1d,mixed,unknown,3.0,B1,PRJEB32839,,ERR11178306,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R1_B1,adult_26d,male,unknown,1.0,B1,PRJEB32839,,ERR11178307,PRJEB32839_parsed
SM_SCHI_FEM_UNKN_R4_B1,schistosomula_2d,female,unknown,4.0,B1,PRJEB32839,,ERR11178312,PRJEB32839_parsed
SM_MIRA_MIX_UNKN_R1_B1,miracidium,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178313,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R2_B1,adult_26d,male,unknown,2.0,B1,PRJEB32839,,ERR11178316,PRJEB32839_parsed
SM_SPOR_FEM_UNKN_R2_B1,sporocyst_32d,female,unknown,2.0,B1,PRJEB32839,,ERR11178317,PRJEB32839_parsed
SM_CERC_MIX_UNKN_R1_B1,cercariae,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178320,PRJEB32839_parsed
SM_SCHI_MIX_UNKN_R3_B1,schistosomula_2d,mixed,unknown,3.0,B1,PRJEB32839,,ERR11178323,PRJEB32839_parsed
SM_SPOR_FEM_UNKN_R3_B1,sporocyst_32d,female,unknown,3.0,B1,PRJEB32839,,ERR11178325,PRJEB32839_parsed
SM_CERC_MIX_UNKN_R2_B1,cercariae,mixed,unknown,2.0,B1,PRJEB32839,,ERR11178328,PRJEB32839_parsed
SM_SPOR_FEM_UNKN_R4_B1,sporocyst_32d,female,unknown,4.0,B1,PRJEB32839,,ERR11178334,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_32d,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178342,PRJEB32839_parsed
SM_CERC_FEM_UNKN_R1_B1,cercariae,female,unknown,1.0,B1,PRJEB32839,,ERR11178343,PRJEB32839_parsed
SM_CERC_FEM_UNKN_R3_B1,cercariae,female,unknown,3.0,B1,PRJEB32839,,ERR11178349,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R1_B1,eggs,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178356,PRJEB32839_parsed
SM_MIRA_MIX_UNKN_R5_B1,miracidium,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178368,PRJEB32839_parsed
SM_SPOR_MAL_UNKN_R1_B1,sporocyst_32d,male,unknown,1.0,B1,PRJEB32839,,ERR11178372,PRJEB32839_parsed
SM_ADUL_FEM_UNKN_R4_B1,adult_26d,female,unknown,4.0,B1,PRJEB32839,,ERR11178379,PRJEB32839_parsed
SM_SCHI_MIX_UNKN_R5_B1,schistosomula_2d,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178381,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R4_B1,eggs,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178385,PRJEB32839_parsed
SM_SCHI_MAL_UNKN_R5_B1,schistosomula_2d,male,unknown,5.0,B1,PRJEB32839,,ERR11178386,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_1d,mixed,unknown,2.0,B1,PRJEB32839,,ERR11178387,PRJEB32839_parsed
SM_ADUL_FEM_UNKN_R5_B1,adult_26d,female,unknown,5.0,B1,PRJEB32839,,ERR11178388,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R5_B1,eggs,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178394,PRJEB32839_parsed
SM_SCHI_MIX_UNKN_R1_B1,schistosomula_2d,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178395,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_1d,mixed,unknown,3.0,B1,PRJEB32839,,ERR11178396,PRJEB32839_parsed
SM_SPOR_MAL_UNKN_R4_B1,sporocyst_32d,male,unknown,4.0,B1,PRJEB32839,,ERR11178400,PRJEB32839_parsed
SM_SCHI_FEM_UNKN_R4_B1,schistosomula_2d,female,unknown,4.0,B1,PRJEB32839,,ERR11178402,PRJEB32839_parsed
SM_MIRA_MIX_UNKN_R1_B1,miracidium,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178403,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R2_B1,adult_26d,male,unknown,2.0,B1,PRJEB32839,,ERR11178406,PRJEB32839_parsed
SM_SPOR_FEM_UNKN_R2_B1,sporocyst_32d,female,unknown,2.0,B1,PRJEB32839,,ERR11178407,PRJEB32839_parsed
SM_SPOR_FEM_UNKN_R3_B1,sporocyst_32d,female,unknown,3.0,B1,PRJEB32839,,ERR11178415,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_32d,mixed,unknown,3.0,B1,PRJEB32839,,ERR11178431,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_32d,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178435,PRJEB32839_parsed
SM_CERC_FEM_UNKN_R2_B1,cercariae,female,unknown,2.0,B1,PRJEB32839,,ERR11178437,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_1d,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178264,PRJEB32839_parsed
SM_EGGS_MIX_UNKN_R1_B1,eggs,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178266,PRJEB32839_parsed
SM_SCHI_MAL_UNKN_R2_B1,schistosomula_2d,male,unknown,2.0,B1,PRJEB32839,,ERR11178267,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R5_B1,adult_26d,male,unknown,5.0,B1,PRJEB32839,,ERR11178271,PRJEB32839_parsed
SM_SPOR_FEM_UNKN_R5_B1,sporocyst_32d,female,unknown,5.0,B1,PRJEB32839,,ERR11178272,PRJEB32839_parsed
SM_MIRA_MIX_UNKN_R5_B1,miracidium,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178278,PRJEB32839_parsed
SM_ADUL_FEM_UNKN_R3_B1,adult_26d,female,unknown,3.0,B1,PRJEB32839,,ERR11178279,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_5d,mixed,unknown,3.0,B1,PRJEB32839,,ERR11178280,PRJEB32839_parsed
SM_SCHI_MIX_UNKN_R4_B1,schistosomula_2d,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178281,PRJEB32839_parsed
SM_SCHI_FEM_UNKN_R1_B1,schistosomula_2d,female,unknown,1.0,B1,PRJEB32839,,ERR11178285,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_1d,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178288,PRJEB32839_parsed
SM_ADUL_FEM_UNKN_R4_B1,adult_26d,female,unknown,4.0,B1,PRJEB32839,,ERR11178289,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_5d,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178290,PRJEB32839_parsed
SM_CERC_MAL_UNKN_R3_B1,cercariae,male,unknown,3.0,B1,PRJEB32839,,ERR11178293,PRJEB32839_parsed
SM_SCHI_FEM_UNKN_R2_B1,schistosomula_2d,female,unknown,2.0,B1,PRJEB32839,,ERR11178294,PRJEB32839_parsed
SM_SCHI_MAL_UNKN_R5_B1,schistosomula_2d,male,unknown,5.0,B1,PRJEB32839,,ERR11178296,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_5d,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178299,PRJEB32839_parsed
SM_SPOR_MAL_UNKN_R3_B1,sporocyst_32d,male,unknown,3.0,B1,PRJEB32839,,ERR11178301,PRJEB32839_parsed
SM_SCHI_FEM_UNKN_R3_B1,schistosomula_2d,female,unknown,3.0,B1,PRJEB32839,,ERR11178303,PRJEB32839_parsed
SM_SCHI_MIX_UNKN_R1_B1,schistosomula_2d,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178305,PRJEB32839_parsed
SM_SPOR_MAL_UNKN_R4_B1,sporocyst_32d,male,unknown,4.0,B1,PRJEB32839,,ERR11178310,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_1d,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178315,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R3_B1,adult_26d,male,unknown,3.0,B1,PRJEB32839,,ERR11178324,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R1_B1,sporocyst_5d,mixed,unknown,1.0,B1,PRJEB32839,,ERR11178332,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R4_B1,adult_26d,male,unknown,4.0,B1,PRJEB32839,,ERR11178333,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R4_B1,sporocyst_32d,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178345,PRJEB32839_parsed
SM_CERC_FEM_UNKN_R5_B1,cercariae,female,unknown,5.0,B1,PRJEB32839,,ERR11178353,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_1d,mixed,unknown,5.0,B1,PRJEB32839,,ERR11178354,PRJEB32839_parsed
SM_CERC_MIX_UNKN_R4_B1,cercariae,mixed,unknown,4.0,B1,PRJEB32839,,ERR11178355,PRJEB32839_parsed
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_5d,mixed,unknown,2.0,B1,PRJEB32839,,ERR11178360,PRJEB32839_parsed
SM_ADUL_MAL_UNKN_R5_B1,adult_26d,male,unknown,5.0,B1,PRJEB32839,,ERR11178361,PRJEB32839_parsed
