sample_id,file_prefix,raw_sample_id,stage,tissue,sex,condition,infection_mode,biological_location,replicate,source_sample_id,batch,dataset,lane,run_accession,study_accession
SM_SP05_MIX_UNKN_R2_B1,SM_SP05_MIX_UNKN_R2_B1,X_5d_Sporocysts_R2,sporocyst_5d,whole_organism,mixed,unknown,,in vitro,2,,B1,PRJEB32839,L1,ERR11178270,PRJEB32839
SM_CERC_MIX_UNKN_R5_B1,SM_CERC_MIX_UNKN_R5_B1,X_Cercariae_R5,cercariae,whole_organism,mixed,unknown,,"Free-living, water",5,,B1,PRJEB32839,L1,ERR11178275,PRJEB32839
SM_EGGS_MIX_UNKN_R2_B1,SM_EGGS_MIX_UNKN_R2_B1,X_Eggs_R2,eggs,whole_organism,mixed,unknown,,Intramammalian,2,,B1,PRJEB32839,L1,ERR11178276,PRJEB32839
SM_SCH2_MAL_UNKN_R3_B1,SM_SCH2_MAL_UNKN_R3_B1,M_2d_Somules_R3,schistosomula_2d,whole_organism,male,unknown,,in vitro,3,,B1,PRJEB32839,L1,ERR11178277,PRJEB32839
SM_SP32_MAL_UNKN_R1_B1,SM_SP32_MAL_UNKN_R1_B1,M_32d_Sporocysts_R1,sporocyst_32d,whole_organism,male,unknown,,Intramolluscan,1,,B1,PRJEB32839,L1,ERR11178282,PRJEB32839
SM_CERC_MAL_UNKN_R2_B1,SM_CERC_MAL_UNKN_R2_B1,M_Cercariae_R2,cercariae,whole_organism,male,unknown,,"Free-living, water",2,,B1,PRJEB32839,L1,ERR11178284,PRJEB32839
SM_EGGS_MIX_UNKN_R3_B1,SM_EGGS_MIX_UNKN_R3_B1,X_Eggs_R3,eggs,whole_organism,mixed,unknown,,Intramammalian,3,,B1,PRJEB32839,L1,ERR11178286,PRJEB32839
SM_SCH2_MAL_UNKN_R4_B1,SM_SCH2_MAL_UNKN_R4_B1,M_2d_Somules_R4,schistosomula_2d,whole_organism,male,unknown,,in vitro,4,,B1,PRJEB32839,L1,ERR11178287,PRJEB32839
SM_EGGS_MIX_UNKN_R4_B1,SM_EGGS_MIX_UNKN_R4_B1,X_Eggs_R4,eggs,whole_organism,mixed,unknown,,Intramammalian,4,,B1,PRJEB32839,L1,ERR11178295,PRJEB32839
SM_CERC_MAL_UNKN_R4_B1,SM_CERC_MAL_UNKN_R4_B1,M_Cercariae_R4,cercariae,whole_organism,male,unknown,,"Free-living, water",4,,B1,PRJEB32839,L1,ERR11178302,PRJEB32839
SM_SP01_MIX_UNKN_R3_B1,SM_SP01_MIX_UNKN_R3_B1,X_1d_Sporocysts_R3,sporocyst_1d,whole_organism,mixed,unknown,,in vitro,3,,B1,PRJEB32839,L1,ERR11178306,PRJEB32839
SM_AD26_MAL_UNKN_R1_B1,SM_AD26_MAL_UNKN_R1_B1,M_26d_Juveniles_R1,adult_26d,whole_organism,male,unknown,,Intramammalian,1,,B1,PRJEB32839,L1,ERR11178307,PRJEB32839
SM_SCH2_FEM_UNKN_R4_B1,SM_SCH2_FEM_UNKN_R4_B1,F_2d_Somules_R4,schistosomula_2d,whole_organism,female,unknown,,in vitro,4,,B1,PRJEB32839,L1,ERR11178312,PRJEB32839
SM_MIRA_MIX_UNKN_R1_B1,SM_MIRA_MIX_UNKN_R1_B1,X_Miracidia_R1,miracidium,whole_organism,mixed,unknown,,"Free-living, water",1,,B1,PRJEB32839,L1,ERR11178313,PRJEB32839
SM_AD26_MAL_UNKN_R2_B1,SM_AD26_MAL_UNKN_R2_B1,M_26d_Juveniles_R2,adult_26d,whole_organism,male,unknown,,Intramammalian,2,,B1,PRJEB32839,L1,ERR11178316,PRJEB32839
SM_SP32_FEM_UNKN_R2_B1,SM_SP32_FEM_UNKN_R2_B1,F_32d_Sporocysts_R2,sporocyst_32d,whole_organism,female,unknown,,Intramolluscan,2,,B1,PRJEB32839,L1,ERR11178317,PRJEB32839
