sample_id,stage,sex,condition,replicate,batch,dataset,lane,run_accession
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_5d,mixed,unknown,2,B1,PRJEB32839,,ERR11178270
SM_CERC_MIX_UNKN_R5_B1,cercariae,mixed,unknown,5,B1,PRJEB32839,,ERR11178275
SM_EGGS_MIX_UNKN_R2_B1,eggs,mixed,unknown,2,B1,PRJEB32839,,ERR11178276
SM_SCHI_MAL_UNKN_R3_B1,schistosomula_2d,male,unknown,3,B1,PRJEB32839,,ERR11178277
SM_SPOR_MAL_UNKN_R1_B1,sporocyst_32d,male,unknown,1,B1,PRJEB32839,,ERR11178282
SM_CERC_MAL_UNKN_R2_B1,cercariae,male,unknown,2,B1,PRJEB32839,,ERR11178284
SM_EGGS_MIX_UNKN_R3_B1,eggs,mixed,unknown,3,B1,PRJEB32839,,ERR11178286
SM_SCHI_MAL_UNKN_R4_B1,schistosomula_2d,male,unknown,4,B1,PRJEB32839,,ERR11178287
SM_EGGS_MIX_UNKN_R4_B1,eggs,mixed,unknown,4,B1,PRJEB32839,,ERR11178295
SM_CERC_MAL_UNKN_R4_B1,cercariae,male,unknown,4,B1,PRJEB32839,,ERR11178302
SM_SPOR_MIX_UNKN_R3_B1,sporocyst_1d,mixed,unknown,3,B1,PRJEB32839,,ERR11178306
SM_ADUL_MAL_UNKN_R1_B1,adult_26d,male,unknown,1,B1,PRJEB32839,,ERR11178307
SM_SCHI_FEM_UNKN_R4_B1,schistosomula_2d,female,unknown,4,B1,PRJEB32839,,ERR11178312
SM_MIRA_MIX_UNKN_R1_B1,miracidium,mixed,unknown,1,B1,PRJEB32839,,ERR11178313
SM_ADUL_MAL_UNKN_R2_B1,adult_26d,male,unknown,2,B1,PRJEB32839,,ERR11178316
SM_SPOR_FEM_UNKN_R2_B1,sporocyst_32d,female,unknown,2,B1,PRJEB32839,,ERR11178317
SM_CERC_MIX_UNKN_R1_B1,cercariae,mixed,unknown,1,B1,PRJEB32839,,ERR11178320
SM_SCHI_MIX_UNKN_R3_B1,schistosomula_2d,mixed,unknown,3,B1,PRJEB32839,,ERR11178323
SM_SPOR_FEM_UNKN_R3_B1,sporocyst_32d,female,unknown,3,B1,PRJEB32839,,ERR11178325
SM_CERC_MIX_UNKN_R2_B1,cercariae,mixed,unknown,2,B1,PRJEB32839,,ERR11178328
SM_SPOR_FEM_UNKN_R4_B1,sporocyst_32d,female,unknown,4,B1,PRJEB32839,,ERR11178334
SM_SPOR_MIX_UNKN_R5_B1,sporocyst_32d,mixed,unknown,5,B1,PRJEB32839,,ERR11178342
SM_CERC_FEM_UNKN_R1_B1,cercariae,female,unknown,1,B1,PRJEB32839,,ERR11178343
SM_CERC_FEM_UNKN_R3_B1,cercariae,female,unknown,3,B1,PRJEB32839,,ERR11178349
SM_EGGS_MIX_UNKN_R1_B1,eggs,mixed,unknown,1,B1,PRJEB32839,,ERR11178356
SM_MIRA_MIX_UNKN_R5_B1,miracidium,mixed,unknown,5,B1,PRJEB32839,,ERR11178368
SM_SPOR_MAL_UNKN_R1_B1,sporocyst_32d,male,unknown,1,B1,PRJEB32839,,ERR11178372
SM_ADUL_FEM_UNKN_R4_B1,adult_26d,female,unknown,4,B1,PRJEB32839,,ERR11178379
SM_SCHI_MIX_UNKN_R5_B1,schistosomula_2d,mixed,unknown,5,B1,PRJEB32839,,ERR11178381
SM_EGGS_MIX_UNKN_R4_B1,eggs,mixed,unknown,4,B1,PRJEB32839,,ERR11178385
SM_SCHI_MAL_UNKN_R5_B1,schistosomula_2d,male,unknown,5,B1,PRJEB32839,,ERR11178386
SM_SPOR_MIX_UNKN_R2_B1,sporocyst_1d,mixed,unknown,2,B1,PRJEB32839,,ERR11178387
SM_ADUL_FEM_UNKN_R5_B1,adult_26d,female,unknown,5,B1,PRJEB32839,,ERR11178388
SM_EGGS_MIX_UNKN_R5_B1,eggs,mixed,unknown,5,B1,PRJEB32839,,ERR11178394
